Brand,TYB Members,Tier,Category,Est Company Size,ICP Title 1,ICP Title 2,Notes,LinkedIn Search URL
Urban Outfitters,49128,Large,Fashion,1000+,VP of Marketing,Director of Community,"Public co 24k+ employees community-forward retail",https://www.linkedin.com/search/results/people/?keywords=urban+outfitters+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Native,46667,Large,Personal Care,20–80,Head of Community,Director of Marketing,"P&G brand ~50 employees",https://www.linkedin.com/search/results/people/?keywords=native+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Pixi Beauty,44711,Large,Beauty,20–80,Head of Community,VP Brand,"~50 employees UK-founded global DTC",https://www.linkedin.com/search/results/people/?keywords=pixi+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
The Outset,43907,Large,Skincare,10–50,Head of Community,Director of Brand Partnerships,"Scarlett Johansson brand ~20 employees",https://www.linkedin.com/search/results/people/?keywords=the+outset+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Emi Jay,43595,Large,Fashion,20–80,VP of Marketing,Director of Community,"Hair accessories ~30 employees very Gen Z",https://www.linkedin.com/search/results/people/?keywords=emi+jay+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
frilliance,41733,Large,Skincare,10–50,Head of Community,Director of Brand Partnerships,"Teen skincare ~15 employees school community events",https://www.linkedin.com/search/results/people/?keywords=frilliance+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Crocs,38548,Large,Fashion,1000+,VP of Marketing,Head of Brand Partnerships,"Public co 4k+ employees strong collab culture",https://www.linkedin.com/search/results/people/?keywords=crocs+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
LOOPS,38086,Large,Skincare,10–50,Head of Community,Director of Brand Partnerships,"Sheet masks ~20 employees",https://www.linkedin.com/search/results/people/?keywords=loops+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
The Skinny Confidential,38039,Large,Wellness,10–50,VP Marketing,Head of Community,"Lauryn Bosstick brand ~20 employees",https://www.linkedin.com/search/results/people/?keywords=the+skinny+confidential+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Sol de Janeiro,36307,Large,Beauty,50–200,Head of Community,VP Marketing,"L'Oreal-owned ~100 employees IRL activations",https://www.linkedin.com/search/results/people/?keywords=sol+de+janeiro+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
The Ordinary,35782,Large,Skincare,50–200,Head of Community,Director of Brand Partnerships,"DECIEM/Estee Lauder ~500 employees science-forward",https://www.linkedin.com/search/results/people/?keywords=the+ordinary+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
FORVR MOOD,31922,Large,Lifestyle,10–50,Head of Community,Director of Brand Partnerships,"Jackie Aina brand ~15 employees candles/home",https://www.linkedin.com/search/results/people/?keywords=forvr+mood+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
ChapStick,31712,Large,Personal Care,50–200,Head of Community,Director of Marketing,"Haleon brand ~100 employees (brand team)",https://www.linkedin.com/search/results/people/?keywords=chapstick+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
EADEM,28633,Large,Skincare,10–50,Head of Community,Director of Brand Partnerships,"~15 employees BIPOC-founded community events",https://www.linkedin.com/search/results/people/?keywords=eadem+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
BREAD,27450,Large,Haircare,10–50,Head of Community,VP Marketing,"Maeva Heim brand ~20 employees textured hair",https://www.linkedin.com/search/results/people/?keywords=bread+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Tower 28 Beauty,26940,Large,Beauty,20–80,Head of Community,Director of Brand Partnerships,"~30 employees sensitive skin IRL activations",https://www.linkedin.com/search/results/people/?keywords=tower+28+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Fur,25387,Large,Personal Care,20–80,Head of Community,Director of Marketing,"~25 employees body care",https://www.linkedin.com/search/results/people/?keywords=fur+body+care+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Bloom Nutrition,24874,Mid,Wellness,20–80,VP Marketing,Head of Community,"~50 employees social-first supplements",https://www.linkedin.com/search/results/people/?keywords=bloom+nutrition+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Flintts,24645,Mid,Wellness,10–50,VP Marketing,Head of Community,"Mouth watering mints ~10 employees",https://www.linkedin.com/search/results/people/?keywords=flintts+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Outdoor Voices,23425,Mid,Fashion,50–200,VP of Marketing,Director of Community,"Ty Haney original brand ~100 employees run clubs",https://www.linkedin.com/search/results/people/?keywords=outdoor+voices+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Billie,22989,Mid,Personal Care,20–80,Head of Community,Director of Marketing,"P&G brand ~50 employees feminist positioning",https://www.linkedin.com/search/results/people/?keywords=billie+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
OLLY,22853,Mid,Wellness,50–200,VP Marketing,Head of Community,"Unilever brand ~80 employees gummies/supplements",https://www.linkedin.com/search/results/people/?keywords=olly+wellness+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Evereden,22772,Mid,Skincare,20–80,Head of Community,Director of Brand Partnerships,"~25 employees family skincare mom communities",https://www.linkedin.com/search/results/people/?keywords=evereden+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Fable & Mane,22223,Mid,Haircare,10–50,Head of Community,VP Marketing,"~20 employees Ayurvedic haircare growing",https://www.linkedin.com/search/results/people/?keywords=fable+mane+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
LYS Beauty,22080,Mid,Beauty,10–50,Head of Community,VP Brand,"~15 employees BIPOC-owned inclusive beauty",https://www.linkedin.com/search/results/people/?keywords=lys+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Not Your Mother's,21550,Mid,Haircare,20–80,Head of Community,Director of Partnerships,"~50 employees mass-market haircare",https://www.linkedin.com/search/results/people/?keywords=not+your+mothers+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Solawave,18535,Mid,Skincare,20–80,Head of Community,Director of Brand Partnerships,"~30 employees beauty devices",https://www.linkedin.com/search/results/people/?keywords=solawave+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
FORM,17692,Mid,Haircare,10–50,Head of Community,VP Marketing,"~20 employees textured hair",https://www.linkedin.com/search/results/people/?keywords=form+haircare+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Ceremonia,17621,Mid,Haircare,10–50,Head of Community,Director of Partnerships,"~20 employees Latine haircare Sephora partnership",https://www.linkedin.com/search/results/people/?keywords=ceremonia+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Living Proof,17530,Mid,Haircare,50–200,Head of Community,Director of Partnerships,"Unilever brand ~80 employees",https://www.linkedin.com/search/results/people/?keywords=living+proof+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Little Words Project,17502,Mid,Lifestyle,10–50,Head of Community,Director of Brand Partnerships,"~20 employees friendship bracelet brand strong community",https://www.linkedin.com/search/results/people/?keywords=little+words+project+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Hanes,17453,Mid,Fashion,1000+,VP of Marketing,Director of Community,"Public co 50k+ employees comfort basics",https://www.linkedin.com/search/results/people/?keywords=hanes+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Chillhouse,17286,Mid,Wellness,10–50,VP Marketing,Head of Community,"~20 employees nail/self-care studio + products",https://www.linkedin.com/search/results/people/?keywords=chillhouse+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Odele Beauty,16967,Mid,Haircare,10–50,Head of Community,Director of Partnerships,"~20 employees Target-exclusive gender-neutral",https://www.linkedin.com/search/results/people/?keywords=odele+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Hanni,16522,Mid,Personal Care,10–50,Head of Community,Director of Marketing,"~15 employees shave/skin body care",https://www.linkedin.com/search/results/people/?keywords=hanni+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
WeWoreWhat,16267,Mid,Fashion,20–80,VP of Marketing,Director of Community,"Danielle Bernstein brand ~30 employees",https://www.linkedin.com/search/results/people/?keywords=weworeWhat+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
August,15464,Mid,Personal Care,10–50,Head of Community,Director of Marketing,"~20 employees period care Gen Z focused",https://www.linkedin.com/search/results/people/?keywords=august+period+care+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Naturium,15163,Mid,Skincare,20–80,Head of Community,Director of Brand Partnerships,"Susan Yara brand Target partner ~30 employees",https://www.linkedin.com/search/results/people/?keywords=naturium+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Skin Gym,15129,Mid,Skincare,20–80,Head of Community,Director of Brand Partnerships,"~25 employees facial tools strong UGC",https://www.linkedin.com/search/results/people/?keywords=skin+gym+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Kopari,13719,Mid,Beauty,20–80,Head of Community,Director of Brand Partnerships,"~30 employees coconut-based body care",https://www.linkedin.com/search/results/people/?keywords=kopari+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
as i am,12939,Mid,Haircare,20–80,Head of Community,Director of Partnerships,"~30 employees textured hair curl community",https://www.linkedin.com/search/results/people/?keywords=as+i+am+haircare+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Wellah,12714,Mid,Wellness,10–50,VP Marketing,Head of Community,"~10 employees wellness supplements",https://www.linkedin.com/search/results/people/?keywords=wellah+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Hismile,12578,Mid,Personal Care,50–200,Head of Community,Director of Marketing,"~100 employees teeth whitening TikTok native",https://www.linkedin.com/search/results/people/?keywords=hismile+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Neutrogena,11242,Mid,Skincare,50–200,Head of Community,Director of Brand Partnerships,"J&J brand ~200 employees (brand team) mega retail",https://www.linkedin.com/search/results/people/?keywords=neutrogena+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Camille Rose,9176,Small,Haircare,20–80,Head of Community,Director of Partnerships,"~25 employees natural hair care",https://www.linkedin.com/search/results/people/?keywords=camille+rose+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Beekeeper's Naturals,8826,Small,Wellness,20–80,VP Marketing,Head of Community,"~30 employees propolis/natural health",https://www.linkedin.com/search/results/people/?keywords=beekeepers+naturals+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Pacifica Beauty,8689,Small,Beauty,20–80,Head of Community,VP Brand,"~50 employees vegan/clean Target/Ulta",https://www.linkedin.com/search/results/people/?keywords=pacifica+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Carol's Daughter,7901,Small,Haircare,20–80,Head of Community,Director of Partnerships,"L'Oreal brand ~50 employees",https://www.linkedin.com/search/results/people/?keywords=carols+daughter+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Boy Smells,7852,Small,Lifestyle,10–50,Head of Community,Director of Brand Partnerships,"~20 employees fragrance/candles queer brand",https://www.linkedin.com/search/results/people/?keywords=boy+smells+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Rizos Curls,5733,Small,Haircare,10–50,Head of Community,Director of Partnerships,"~15 employees Latine curl care community-first",https://www.linkedin.com/search/results/people/?keywords=rizos+curls+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Purely Elizabeth,5575,Small,Food & Bev,20–80,VP Marketing,Director of Experiential,"~50 employees grain-free wellness brand",https://www.linkedin.com/search/results/people/?keywords=purely+elizabeth+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Ritual,5574,Small,Wellness,50–200,VP Marketing,Head of Community,"~100 employees vitamins science-forward",https://www.linkedin.com/search/results/people/?keywords=ritual+vitamins+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
DripDrop Hydration,5180,Small,Food & Bev,20–80,VP Marketing,Director of Experiential,"~50 employees hydration run/sports communities",https://www.linkedin.com/search/results/people/?keywords=dripdrop+hydration+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Beautyblender,4541,Small,Beauty,20–80,Head of Community,VP Brand,"~50 employees iconic beauty tool",https://www.linkedin.com/search/results/people/?keywords=beautyblender+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Function of Beauty,2881,Small,Haircare,50–200,Head of Community,Director of Partnerships,"~100 employees personalized haircare",https://www.linkedin.com/search/results/people/?keywords=function+of+beauty+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Recess,2548,Small,Food & Bev,20–80,VP Marketing,Director of Experiential,"~30 employees CBD seltzer wellness lifestyle",https://www.linkedin.com/search/results/people/?keywords=recess+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Laneige,2956,Small,Skincare,50–200,Head of Community,Director of Brand Partnerships,"AmorePacific brand ~200 employees (NA team)",https://www.linkedin.com/search/results/people/?keywords=laneige+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
Sienna Naturals,3114,Small,Haircare,10–50,Head of Community,Director of Partnerships,"~15 employees textured hair Issa Rae brand",https://www.linkedin.com/search/results/people/?keywords=sienna+naturals+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
NOPALERA,2689,Small,Personal Care,10–50,Head of Community,Director of Marketing,"~10 employees Latina-owned body care",https://www.linkedin.com/search/results/people/?keywords=nopalera+community+marketing+director+partnerships&titleFreeText=marketing+community+partnerships
